dist,time
0.0000,398.1946
0.0000,300.3516
0.0000,303.8574
0.0000,291.6324
0.0000,294.2651
0.0000,303.5056
0.0000,292.8572
0.0000,293.0540
0.0000,301.0602
0.0000,335.9401
0.0000,338.4024
0.0000,301.7715
0.0000,783.6263
0.0000,783.6647
0.0000,397.3369
0.0500,1329.2766
0.0500,1667.2444
0.0500,1308.1674
0.0500,1242.4795
0.0500,1310.3349
0.0500,1338.6844
0.0500,1324.9576
0.0500,1318.9549
0.0500,1303.2168
0.0500,1340.0740
0.0500,1257.2564
0.0500,1299.9498
0.0500,1373.8866
0.0500,1508.7679
0.0500,1421.1074
0.1000,3917.2131
0.1000,4071.0315
0.1000,3927.0842
0.1000,4164.3147
0.1000,4119.0994
0.1000,3806.6777
0.1000,4128.1390
0.1000,3920.8467
0.1000,4060.0427
0.1000,4068.7528
0.1000,4040.9560
0.1000,3854.6272
0.1000,3881.1521
0.1000,4075.5036
0.1000,3894.1302
0.1500,7772.2703
0.1500,7744.0613
0.1500,7780.3221
0.1500,7782.7268
0.1500,7772.5619
0.1500,7773.5201
0.1500,7787.1510
0.1500,7793.9716
0.1500,7822.9418
0.1500,7837.7010
0.1500,7837.1483
0.1500,7834.5901
0.1500,7843.7791
0.1500,7842.8183
0.1500,7853.0415
0.2000,13311.5455
0.2000,13297.0543
0.2000,13292.3369
0.2000,13321.5809
0.2000,13310.4216
0.2000,13303.3743
0.2000,13352.1685
0.2000,13308.1505
0.2000,13317.3745
0.2000,13300.3676
0.2000,13351.7255
0.2000,13408.2663
0.2000,13388.2655
0.2000,13393.0053
0.2000,13404.6901
0.2500,19917.5215
0.2500,19976.1075
0.2500,20030.4754
0.2500,20013.7370
0.2500,20020.0396
0.2500,20019.9352
0.2500,20083.2514
0.2500,20089.8105
0.2500,20084.2371
0.2500,20275.6414
0.2500,20046.6103
0.2500,20039.6119
0.2500,20050.2389
0.2500,20050.4120
0.2500,20096.6923
0.3000,27504.8163
0.3000,27509.7023
0.3000,27623.9848
0.3000,27630.6515
0.3000,27620.5091
0.3000,27432.9077
0.3000,27144.1561
0.3000,27399.0652
0.3000,27152.1886
0.3000,27496.8386
0.3000,27574.8368
0.3000,27384.9214
0.3000,27005.8163
0.3000,27578.4145
0.3000,28456.9641
0.3500,35477.4583
0.3500,36210.4241
0.3500,36144.1222
0.3500,35815.5345
0.3500,36060.6634
0.3500,36276.3233
0.3500,36032.9145
0.3500,36138.1285
0.3500,36513.9175
0.3500,36440.5555
0.3500,36642.4761
0.3500,36573.6758
0.3500,36066.9427
0.3500,35720.9927
0.3500,36245.1827
0.4000,45277.1698
0.4000,45580.0518
0.4000,45593.1331
0.4000,45826.6423
0.4000,45901.2726
0.4000,45687.0385
0.4000,45837.7815
0.4000,46102.0625
0.4000,45893.3493
0.4000,46901.3369
0.4000,45785.5900
0.4000,45706.0255
0.4000,45969.2337
0.4000,45742.9710
0.4000,45785.3578
0.4500,55855.6766
0.4500,56184.4400
0.4500,55987.2727
0.4500,55964.7699
0.4500,55885.0916
0.4500,55771.7205
0.4500,55952.0342
0.4500,56214.8560
0.4500,56353.0575
0.4500,56267.5344
0.4500,55888.5046
0.4500,55836.2930
0.4500,55816.3719
0.4500,55879.7221
0.4500,55919.6857
0.5000,66372.9790
0.5000,66553.1647
0.5000,66927.7148
0.5000,67056.0508
0.5000,67086.9134
0.5000,66673.1162
0.5000,67062.9129
0.5000,67062.1479
0.5000,66872.3353
0.5000,67525.6245
0.5000,66919.9161
0.5000,66729.5109
0.5000,66856.5780
0.5000,66655.0884
0.5000,67103.0961
