dist,time
0.0000,59.2236
0.0000,55.7847
0.0000,50.2514
0.0000,60.5009
0.0000,55.1052
0.0000,51.1202
0.0000,53.7677
0.0000,53.1726
0.0000,52.8407
0.0000,52.8444
0.0000,54.4619
0.0000,51.3697
0.0000,52.4189
0.0000,53.8751
0.0000,50.9690
0.0500,121.1848
0.0500,122.0778
0.0500,118.8983
0.0500,122.5353
0.0500,123.8007
0.0500,119.5804
0.0500,122.8289
0.0500,123.0847
0.0500,119.1486
0.0500,118.6775
0.0500,125.7276
0.0500,118.9039
0.0500,126.1387
0.0500,128.5785
0.0500,120.3845
0.1000,353.2244
0.1000,355.7692
0.1000,355.8144
0.1000,364.5962
0.1000,361.2938
0.1000,367.7551
0.1000,350.8614
0.1000,355.1085
0.1000,353.0106
0.1000,353.5989
0.1000,358.8829
0.1000,383.1324
0.1000,350.7142
0.1000,370.0923
0.1000,357.3050
0.1500,750.8822
0.1500,784.1362
0.1500,751.2373
0.1500,757.9227
0.1500,753.0002
0.1500,735.3066
0.1500,743.7478
0.1500,735.9895
0.1500,706.4881
0.1500,726.0334
0.1500,731.6362
0.1500,728.7011
0.1500,729.5331
0.1500,729.9443
0.1500,738.6259
0.2000,1159.4668
0.2000,1157.9836
0.2000,1127.3294
0.2000,1150.0303
0.2000,1191.4787
0.2000,1148.0272
0.2000,1132.1692
0.2000,1124.9665
0.2000,1127.3638
0.2000,1131.9504
0.2000,1136.6613
0.2000,1125.8961
0.2000,1134.2912
0.2000,1136.6923
0.2000,1125.6017
0.2500,1681.6709
0.2500,1686.9586
0.2500,1684.7127
0.2500,1676.0999
0.2500,1680.5448
0.2500,1682.8265
0.2500,1687.8376
0.2500,1669.1584
0.2500,1688.7753
0.2500,1605.9356
0.2500,1634.7436
0.2500,1618.5023
0.2500,1669.5067
0.2500,1672.6632
0.2500,1692.2182
0.3000,2306.7446
0.3000,2307.2861
0.3000,2308.7258
0.3000,2318.5269
0.3000,2300.4999
0.3000,2319.0660
0.3000,2445.4610
0.3000,2677.1673
0.3000,2602.1313
0.3000,2622.9940
0.3000,2564.8418
0.3000,2546.7522
0.3000,2537.1970
0.3000,2520.9572
0.3000,2541.7346
0.3500,3256.9251
0.3500,3329.4815
0.3500,3266.8825
0.3500,3266.4091
0.3500,3856.1992
0.3500,3551.5453
0.3500,3207.1213
0.3500,3184.3396
0.3500,3188.9071
0.3500,3331.1783
0.3500,3314.4842
0.3500,3295.7004
0.3500,3256.7103
0.3500,3366.3094
0.3500,3319.6092
0.4000,4131.3721
0.4000,4005.6149
0.4000,4083.6830
0.4000,3975.5563
0.4000,3959.1966
0.4000,4020.7777
0.4000,3944.0882
0.4000,3920.3296
0.4000,3885.6836
0.4000,3913.7722
0.4000,3980.4579
0.4000,3951.7903
0.4000,3940.5628
0.4000,3919.5000
0.4000,3991.1554
0.4500,4518.2041
0.4500,4569.7459
0.4500,4674.1382
0.4500,4638.8250
0.4500,4612.6139
0.4500,4949.4263
0.4500,4762.4663
0.4500,4707.3848
0.4500,4736.4941
0.4500,4905.2253
0.4500,4472.2541
0.4500,4390.8594
0.4500,4367.6654
0.4500,4310.8957
0.4500,4274.8341
0.5000,4863.3494
0.5000,4821.4493
0.5000,4908.4933
0.5000,4792.3807
0.5000,4851.1937
0.5000,4971.2983
0.5000,4914.0521
0.5000,4929.2609
0.5000,4882.6166
0.5000,4886.4704
0.5000,4959.6877
0.5000,4852.4685
0.5000,4988.4086
0.5000,4968.2595
0.5000,4979.2305
