stage,time
1,57.2671
1,52.6728
1,52.4539
1,49.5953
1,50.7015
1,50.8293
1,47.3620
1,48.7323
1,50.7119
1,48.9976
1,50.9777
1,52.2864
1,47.9747
1,50.1438
1,50.5668
2,2414.9898
2,2455.1143
2,2442.0353
2,2422.3205
2,2454.4577
2,2381.0731
2,2453.1529
2,2370.7777
2,2476.1626
2,2405.6600
2,2480.6439
2,2495.5839
2,2457.4493
2,2475.5347
2,2427.5533
3,2468.5951
3,2402.1421
3,2454.2306
3,2438.1397
3,2431.5809
3,2412.8334
3,2419.6032
3,2432.2826
3,2361.8454
3,2424.8864
3,2467.8313
3,2413.1835
3,2464.3795
3,2406.7497
3,2466.4868
4,2528.4634
4,2438.8458
4,2529.5094
4,2515.9435
4,2488.7017
4,2469.2924
4,2499.1076
4,2434.9004
4,2428.4311
4,2466.6740
4,2445.6497
4,2405.7261
4,2483.2781
4,2484.6977
4,2435.3520
