stage,time
1,32.0747
1,24.6683
1,21.7738
1,16.8563
1,17.3926
1,17.2396
1,16.9325
1,16.5977
1,16.7760
1,17.3866
1,17.1931
1,15.5306
1,16.1293
1,16.4401
1,16.1753
2,1664.0938
2,1652.0562
2,1667.7875
2,1670.5515
2,1682.2323
2,1678.2502
2,1666.6011
2,1657.8998
2,1673.8849
2,1658.4987
2,1645.7508
2,1690.7935
2,1692.6434
2,1719.1601
2,1628.0895
3,1714.5468
3,1700.8202
3,1693.0337
3,1690.1014
3,1713.8476
3,1688.2805
3,1705.2261
3,1697.4424
3,1706.1429
3,1719.4558
3,1679.6706
3,1658.0395
3,1693.8471
3,1648.9032
3,1699.2349
4,1766.6337
4,1747.6515
4,1729.2258
4,1711.3149
4,1719.4892
4,1709.4714
4,1692.6916
4,1717.3572
4,1728.9820
4,1668.5120
4,1676.7544
4,1719.0312
4,1729.4481
4,1783.1523
4,1782.0293
